t,PPI_mean
2022-05-06,
2022-05-08,
2022-05-11,
2022-05-13,
2022-05-16,
2022-05-18,0.9257711
2022-05-21,
2022-05-23,0.91241574
2022-05-26,
2022-05-28,
2022-05-31,
2022-06-02,
2022-06-05,0.8985703
2022-06-07,
2022-06-10,
2022-06-12,
2022-06-15,
2022-06-17,
2022-06-20,
2022-06-22,
2022-06-25,
2022-06-27,0.4053719
2022-06-30,
2022-07-02,0.25419188
2022-07-05,
2022-07-07,
2022-07-10,
2022-07-12,
2022-07-15,
2022-07-17,
2022-07-20,0.0226719
2022-07-22,
2022-07-25,
2022-07-27,
2022-07-30,
2022-08-01,
2022-08-04,
2022-08-06,
2022-08-09,
2022-08-11,0.010633057
2022-08-14,0.00891653
2022-08-16,0.009508264
2022-08-19,
2022-08-21,
2022-08-24,
2022-08-26,0.0068537183
2022-08-29,
2022-08-31,
2022-09-03,0.04248678
2022-09-05,
2022-09-08,
2022-09-10,
2022-09-13,
2022-09-15,
2022-09-18,0.23052187
2022-09-20,
2022-09-23,
2022-09-25,
2022-09-28,
2022-09-30,0.11315619
2022-10-03,
2022-10-05,
2022-10-08,
2022-10-10,
2022-10-13,0.15765454
2022-10-15,
2022-10-18,
2022-10-20,0.26896283
2022-10-23,
2022-10-25,
2022-10-28,
2022-10-30,0.39222232
2022-11-02,0.39759836
2022-11-04,
2022-11-09,0.45254785
2022-11-12,
2022-11-14,
2022-11-17,
2022-11-19,
2022-11-22,
2022-11-24,
2022-11-27,
2022-11-29,
2022-12-02,
2022-12-04,
2022-12-07,
2022-12-09,
2022-12-14,
2022-12-17,
2022-12-19,
2022-12-22,
2022-12-24,
2022-12-27,
2022-12-29,
2023-01-01,
2023-01-03,0.34744543
2023-01-06,
2023-01-08,
2023-01-11,
2023-01-13,
2023-01-16,0.30681986
2023-01-18,
2023-01-21,
2023-01-23,
2023-01-26,
2023-01-28,
2023-01-31,
2023-02-02,
2023-02-05,
2023-02-07,0.35248595
2023-02-10,
2023-02-12,
2023-02-15,
2023-02-17,
2023-02-20,
2023-02-22,
2023-02-25,
2023-02-27,
2023-03-02,
2023-03-04,
2023-03-07,
2023-03-09,
2023-03-12,0.3756884
2023-03-14,
2023-03-17,
2023-03-19,
2023-03-22,
2023-03-24,
2023-03-27,0.6236115
2023-03-29,
2023-04-01,
2023-04-03,
2023-04-06,0.97213805
2023-04-08,
2023-04-11,
2023-04-13,
2023-04-16,
2023-04-18,0.80035913
2023-04-21,1.373033
2023-04-23,
2023-04-26,
2023-04-28,1.441295
2023-05-01,2.1260526
2023-05-03,2.9150481
2023-05-06,
2023-05-08,2.1278262
2023-05-11,2.5517087
2023-05-13,1.8033017
2023-05-16,
2023-05-18,
2023-05-21,
2023-05-23,
2023-05-26,
2023-05-28,
2023-05-31,
2023-06-02,2.7288158
2023-06-05,2.5421107
2023-06-07,2.6337628
2023-06-10,2.472486
2023-06-12,2.5466611
2023-06-15,
2023-06-17,
2023-06-20,
2023-06-22,
2023-06-25,
2023-06-27,
2023-06-30,
2023-07-02,
2023-07-05,
2023-07-07,
2023-07-10,
2023-07-12,
2023-07-15,0.20112397
2023-07-17,
2023-07-20,
2023-07-22,0.08681075
2023-07-25,
2023-07-27,
2023-07-30,
2023-08-01,
2023-08-04,
2023-08-06,
2023-08-09,
2023-08-11,0.027339669
2023-08-14,
2023-08-16,
2023-08-19,0.30980664
2023-08-21,
2023-08-24,
2023-08-26,
2023-08-29,
2023-08-31,
2023-09-03,
2023-09-05,
2023-09-08,0.031586777
2023-09-10,0.02355537
2023-09-13,
2023-09-15,0.02048182
2023-09-18,
2023-09-20,
2023-09-23,
2023-09-25,0.11487851
2023-09-28,
2023-09-30,
2023-10-03,0.0125330575
2023-10-05,
2023-10-08,
2023-10-10,
2023-10-13,
2023-10-15,0.035032228
2023-10-18,
2023-10-20,
2023-10-23,0.029296694
2023-10-25,
2023-10-28,
2023-10-30,0.06877355
2023-11-02,
2023-11-04,0.09985538
2023-11-07,0.15651026
2023-11-09,
2023-11-12,
2023-11-14,
2023-11-17,
2023-11-19,
2023-11-22,
2023-11-24,
2023-11-27,
2023-11-29,
2023-12-02,
2023-12-07,
2023-12-09,
2023-12-12,
2023-12-14,
2023-12-17,
2023-12-19,
2023-12-22,
2023-12-24,
2023-12-27,0.12889421
2023-12-29,
2024-01-01,
2024-01-03,
2024-01-06,
2024-01-08,
2024-01-11,
2024-01-13,
2024-01-16,
2024-01-18,
2024-01-21,
2024-01-23,
2024-01-26,
2024-01-28,0.16706693
2024-01-31,
2024-02-02,
2024-02-05,
2024-02-07,
2024-02-10,
2024-02-12,
2024-02-15,
2024-02-17,
2024-02-20,
2024-02-22,
2024-02-25,
2024-02-27,
2024-03-01,
2024-03-03,
2024-03-06,0.28575534
2024-03-08,0.31241158
2024-03-11,
2024-03-13,
2024-03-16,
2024-03-18,
2024-03-21,
2024-03-23,
2024-03-26,0.30295533
2024-03-28,
2024-03-31,
2024-04-02,
2024-04-05,
2024-04-07,
2024-04-10,
2024-04-12,
2024-04-15,0.9542116
2024-04-17,
2024-04-20,1.3350967
2024-04-22,0.7032937
2024-04-25,
2024-04-27,0.8510297
2024-04-30,0.78840655
2024-05-02,1.2461644
2024-05-05,
2024-05-07,
2024-05-10,1.5243901
2024-05-15,1.911233
2024-05-17,2.5477314
